"HALL_ID";"THEATRE_ID";"HALL_NAME";"PLACES";"EXP_3D";"EXP_IMAX";"EXP_LASER";"EXP_DVD"
3128;1928;"09";233;"1";"0";"0";"0"
3129;1928;"10";233;"1";"0";"0";"0"
3130;1928;"11";233;"1";"0";"0";"0"
3131;1928;"12";32;"1";"0";"0";"0"
3132;1928;"13";32;"1";"0";"0";"0"
3193;1985;"01";146;"1";"0";"0";"0"
3194;1985;"02";56;"1";"0";"0";"0"
3195;1985;"03";70;"1";"0";"0";"0"
3196;1985;"04";146;"1";"0";"0";"0"
3197;1985;"05";300;"1";"0";"0";"0"
3198;1985;"06";230;"1";"0";"0";"0"
3199;1985;"07";132;"1";"0";"0";"0"
3200;1985;"08";129;"1";"0";"0";"0"
3201;1985;"09";146;"1";"0";"0";"0"
3254;1819;"07";171;"1";"0";"0";"0"
3255;1819;"08";162;"1";"0";"0";"0"
3256;1819;"09";152;"1";"0";"0";"0"
3257;1819;"01";24;"1";"0";"0";"0"
3445;2151;"Зал №1";91;"1";"0";"0";"0"
3446;2151;"Зал №2";91;"1";"0";"0";"0"
3447;2151;"Зал №3";91;"1";"0";"0";"0"
3448;2151;"Зал №4";75;"1";"0";"0";"0"
3449;2151;"Зал №5";319;"1";"0";"0";"0"
3450;2151;"Зал №6";72;"1";"0";"0";"0"
3451;2151;"Зал №7";78;"1";"0";"0";"0"
3452;2152;"Зал1";218;"1";"0";"0";"0"
3453;2152;"Зал2";200;"1";"0";"0";"0"
3454;2152;"Зал Volkswagen";445;"1";"0";"0";"0"
3455;2152;"Зал4";75;"1";"0";"0";"0"
3456;2152;"Зал5";74;"1";"0";"0";"0"
3457;2152;"Зал BMW";24;"1";"0";"0";"0"
3458;2152;"Зал7";92;"1";"0";"0";"0"
3459;2152;"Зал8";136;"1";"0";"0";"0"
3460;2153;"Зал 1";287;"1";"0";"0";"0"
3461;2153;"Зал 2";189;"1";"0";"0";"0"
3462;2153;"Зал 3";200;"1";"0";"0";"0"
3463;2153;"Зал 4";288;"1";"0";"0";"0"
3464;2153;"Зал 5";200;"1";"0";"0";"0"
3465;2153;"Зал 6";63;"1";"0";"0";"0"
3466;2155;"1";244;"1";"0";"0";"0"
3467;2155;"2";139;"1";"0";"0";"0"
3468;2155;"3 (Vip)";36;"1";"0";"0";"0"
3469;2155;"4";128;"1";"0";"0";"0"
3470;2155;"5";128;"1";"0";"0";"0"
3471;2155;"ДОДО ЗАЛ";128;"1";"0";"0";"0"
3472;2155;"7";128;"1";"0";"0";"0"
3482;1232;"№5";299;"1";"0";"0";"0"
3483;1232;"№6";211;"1";"0";"0";"0"
3484;1232;"№7";263;"1";"0";"0";"0"
3485;1232;"№8 VIP";54;"1";"0";"0";"0"
3520;1682;"08";226;"1";"0";"0";"0"
3608;2245;"01";88;"1";"0";"0";"0"
3609;2245;"02";56;"1";"0";"0";"0"
3610;2245;"03";416;"1";"1";"0";"0"
3611;2245;"04";220;"1";"0";"0";"0"
3612;2245;"05";180;"1";"0";"0";"0"
3613;2245;"06";220;"1";"0";"0";"0"
3614;2245;"07";291;"1";"0";"0";"0"
3615;2245;"08";129;"1";"0";"0";"0"
3616;2245;"09";178;"1";"0";"0";"0"
3617;2245;"10";129;"1";"0";"0";"0"
3628;218;"VIP";53;"1";"0";"0";"0"
3629;218;"Зал №4";115;"1";"0";"0";"0"
3630;218;"Зал №5";106;"1";"0";"0";"0"
3631;218;"Зал №6";106;"1";"0";"0";"0"
3645;2271;"Зал IMAX";294;"1";"1";"0";"0"
3646;2271;"Зал VIP";45;"1";"0";"0";"0"
3647;2271;"Зал 6";91;"1";"0";"0";"0"
3648;2271;"Зал 5";90;"1";"0";"0";"0"
3649;2271;"Зал 4";90;"1";"0";"0";"0"
3650;2271;"Зал 3";202;"1";"0";"0";"0"
3651;2271;"Зал 2";202;"1";"0";"0";"0"
3652;2271;"Зал 1";269;"1";"0";"0";"0"
